url,extraction,lexical,syntactic
https://www.imdb.com/name/nm1675687/bio,"Jacksonville, Florida",1,1
https://www.imdb.com/name/nm0001165/bio,"Baltimore, Maryland, USA",1,1
https://www.imdb.com/name/nm0001873/bio,"Fresno, California, USA",1,1
https://www.imdb.com/name/nm0038695/bio,"Long Beach, California, USA",1,1
https://www.imdb.com/name/nm0101740/bio,"Hastings, East Sussex, England",0,0
https://www.imdb.com/name/nm1391796/bio,The Bronx,0,0
https://www.imdb.com/name/nm1018007/bio,"Oregon City, Oregon",0,0
https://www.imdb.com/name/nm0217251/bio,"Pasadena, California",0,0
https://www.imdb.com/name/nm0235652/bio,Holyoke,1,1
https://www.imdb.com/name/nm0567204/bio,"Honolulu, Hawaii",1,1
https://www.imdb.com/name/nm0746371/bio,"Paris, France",1,1
https://www.imdb.com/name/nm0796533/bio,Los Angeles,0,0
https://www.imdb.com/name/nm1469236/bio,"Norwich, Norfolk",1,1
https://www.imdb.com/name/nm2072214/bio,"Tel Aviv, Israel",1,1
https://www.imdb.com/name/nm2836740/bio,"Chicago, Illinois",0,0
https://www.imdb.com/name/nm2838735/bio,"Hinsdale, Illinois",1,1
https://www.imdb.com/name/nm3442484/bio,"Newry, County Down, Northern Ireland",1,1
https://www.imdb.com/name/nm3954896/bio,"Hamilton, Ontario",1,1
https://www.imdb.com/name/nm5116901/bio,"Montreal, Canada",1,1
